,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-15.25,-1.0627,0.0622,0.05971,-0.0331,1.0,0.0142
1,-15.0,-1.0952,0.05313,0.0504,-0.0395,1.0,0.0142
2,-14.75,-1.1159,0.04706,0.04411,-0.0428,1.0,0.0143
3,-14.5,-1.1291,0.0427,0.03955,-0.0442,1.0,0.0144
4,-14.25,-1.1381,0.03932,0.03598,-0.0443,1.0,0.0145
5,-14.0,-1.1426,0.03672,0.03321,-0.0434,1.0,0.0146
6,-13.75,-1.1428,0.03474,0.03108,-0.042,1.0,0.0147
7,-13.5,-1.1396,0.0332,0.0294,-0.0402,1.0,0.0148
8,-13.25,-1.1329,0.03211,0.02819,-0.0382,1.0,0.0149
9,-13.0,-1.1469,0.0289,0.0247,-0.0341,1.0,0.0153
10,-12.75,-1.1358,0.0277,0.02343,-0.0324,1.0,0.0155
11,-12.5,-1.1201,0.02691,0.02259,-0.031,1.0,0.0157
12,-12.25,-1.1035,0.02614,0.02177,-0.0297,1.0,0.0159
13,-12.0,-1.0862,0.02534,0.02091,-0.0285,1.0,0.0162
14,-11.75,-1.0687,0.0245,0.01998,-0.0272,1.0,0.0164
15,-11.5,-1.0507,0.02364,0.01902,-0.026,1.0,0.0167
16,-11.25,-1.0323,0.02278,0.01806,-0.0247,1.0,0.017
17,-11.0,-1.0133,0.02195,0.01712,-0.0235,1.0,0.0173
18,-10.75,-0.9938,0.02119,0.01626,-0.0222,1.0,0.0176
19,-10.5,-0.9737,0.02056,0.01553,-0.021,1.0,0.0178
20,-10.25,-0.9563,0.01948,0.01431,-0.0194,1.0,0.0181
21,-10.0,-0.9394,0.01845,0.01323,-0.0177,1.0,0.0186
22,-9.75,-0.9196,0.01797,0.01275,-0.0163,1.0,0.019
23,-9.5,-0.8996,0.01754,0.01229,-0.0149,1.0,0.0193
24,-9.25,-0.8801,0.01706,0.01177,-0.0133,1.0,0.0197
25,-9.0,-0.861,0.01657,0.01123,-0.0117,1.0,0.02
26,-8.75,-0.8422,0.01608,0.01069,-0.0099,1.0,0.0204
27,-8.5,-0.8235,0.01563,0.01019,-0.0082,1.0,0.0208
28,-8.25,-0.8046,0.01523,0.00973,-0.0064,1.0,0.0211
29,-8.0,-0.7838,0.01492,0.00938,-0.005,0.9999,0.0213
30,-7.75,-0.7532,0.01385,0.00828,-0.006,0.9983,0.0222
31,-7.5,-0.7191,0.01344,0.00787,-0.0075,0.9966,0.0228
