,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
57,4.5,0.6781,0.0189,0.00918,-0.0151,0.3607,1.0
58,4.75,0.701,0.01941,0.00964,-0.0142,0.3496,1.0
59,5.0,0.7237,0.01998,0.01025,-0.0134,0.3393,1.0
60,5.25,0.7476,0.0206,0.01071,-0.0127,0.3304,1.0
61,5.5,0.7694,0.02115,0.01141,-0.0116,0.3205,1.0
62,5.75,0.7931,0.02184,0.01201,-0.0109,0.3125,1.0
63,6.0,0.8149,0.02244,0.01275,-0.0099,0.3035,1.0
64,6.25,0.8386,0.02318,0.01341,-0.0093,0.296,1.0
65,6.5,0.8601,0.02385,0.01426,-0.0083,0.2874,1.0
66,6.75,0.8843,0.02465,0.01495,-0.0077,0.2804,1.0
67,7.0,0.9047,0.02538,0.01592,-0.0066,0.272,1.0
68,7.25,0.9296,0.02619,0.0166,-0.0062,0.2652,1.0
69,7.5,0.9486,0.02704,0.01776,-0.0049,0.257,1.0
70,7.75,0.9727,0.02778,0.01841,-0.0044,0.2501,1.0
71,8.0,0.9916,0.02883,0.01974,-0.0032,0.2423,1.0
72,8.25,1.0146,0.02952,0.02042,-0.0025,0.235,1.0
73,8.5,1.0331,0.03068,0.02179,-0.0014,0.2276,1.0
74,8.75,1.0549,0.03138,0.02253,-0.0006,0.22,1.0
75,9.0,1.0734,0.03256,0.02388,0.0005,0.2128,1.0
76,9.25,1.0935,0.03329,0.02471,0.0015,0.2049,1.0
77,9.5,1.1118,0.03443,0.02597,0.0026,0.1978,1.0
78,9.75,1.1301,0.0352,0.02688,0.0038,0.1898,1.0
79,10.0,1.1478,0.03628,0.02805,0.0049,0.1827,1.0
80,10.25,1.1648,0.03699,0.02889,0.0062,0.1748,1.0
81,10.5,1.1805,0.03808,0.03009,0.0075,0.1676,1.0
82,10.75,1.1975,0.03863,0.03073,0.0087,0.1598,1.0
83,11.0,1.2093,0.0399,0.03216,0.0104,0.1528,1.0
84,11.25,1.2272,0.04028,0.03253,0.0115,0.1454,1.0
85,11.5,1.2335,0.04189,0.03437,0.0136,0.1388,1.0
86,11.75,1.2514,0.04218,0.03461,0.0147,0.1317,1.0
87,12.0,1.2516,0.04416,0.03687,0.0172,0.126,1.0
88,12.25,1.2629,0.04483,0.03754,0.0188,0.1196,1.0
89,12.5,1.2637,0.04673,0.03958,0.021,0.1147,1.0
90,12.75,1.2513,0.04892,0.04204,0.0243,0.1108,1.0
91,13.0,1.2742,0.04924,0.04211,0.0249,0.1046,1.0
92,13.25,1.249,0.05267,0.04593,0.0278,0.1027,1.0
93,13.5,1.2259,0.05661,0.05017,0.029,0.1008,1.0
94,13.75,1.2048,0.06092,0.05471,0.0289,0.0988,1.0
95,14.0,1.0684,0.0832,0.07768,0.0169,0.1081,1.0
96,14.25,1.0478,0.09022,0.08474,0.0133,0.1063,1.0
