,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-10.25,-0.5351,0.10845,0.10329,-0.0041,1.0,0.1255
1,-10.0,-0.5476,0.10393,0.09884,-0.0085,1.0,0.1316
2,-9.75,-0.6133,0.09584,0.09083,-0.0235,1.0,0.1336
3,-9.5,-0.5441,0.09556,0.09054,-0.0101,1.0,0.1393
4,-9.25,-0.5469,0.09161,0.08662,-0.0122,1.0,0.1456
5,-9.0,-0.6158,0.08385,0.07889,-0.0239,1.0,0.1494
6,-8.75,-0.5617,0.08209,0.07723,-0.0172,1.0,0.1565
7,-8.5,-0.5836,0.07723,0.0724,-0.0205,1.0,0.1624
8,-8.25,-0.6066,0.0721,0.06723,-0.0224,1.0,0.1695
9,-8.0,-0.6091,0.06945,0.06454,-0.0219,1.0,0.1805
10,-7.75,-0.5924,0.06694,0.06212,-0.0196,1.0,0.1923
11,-7.5,-0.5907,0.06417,0.05936,-0.0182,1.0,0.2068
12,-7.25,-0.5874,0.06172,0.05693,-0.0165,1.0,0.2234
13,-6.5,-0.6046,0.04013,0.03258,-0.0135,1.0,0.1044
14,-6.25,-0.5866,0.03707,0.02933,-0.0117,1.0,0.0973
15,-6.0,-0.5711,0.03447,0.0264,-0.0095,1.0,0.0951
16,-5.75,-0.5542,0.0321,0.02362,-0.0073,1.0,0.0928
17,-5.5,-0.536,0.03014,0.02111,-0.0049,1.0,0.0902
18,-5.25,-0.5157,0.02842,0.01915,-0.0032,1.0,0.0902
19,-5.0,-0.4952,0.02687,0.01756,-0.002,1.0,0.0926
20,-4.75,-0.4742,0.02563,0.01622,-0.0006,1.0,0.0953
21,-4.5,-0.4524,0.02442,0.01488,0.0007,1.0,0.0972
22,-4.25,-0.4301,0.02338,0.01369,0.002,1.0,0.0997
23,-4.0,-0.408,0.02237,0.01259,0.0032,1.0,0.1037
24,-3.75,-0.386,0.0212,0.01158,0.0041,1.0,0.109
25,-3.5,-0.3645,0.02046,0.01084,0.0053,1.0,0.1147
26,-3.25,-0.3438,0.01956,0.01007,0.0064,1.0,0.1223
27,-3.0,-0.3237,0.01895,0.00954,0.0075,1.0,0.1318
28,-2.75,-0.3044,0.01825,0.00896,0.0086,1.0,0.1454
29,-2.5,-0.2845,0.01761,0.00846,0.0095,1.0,0.168
30,-2.25,-0.2685,0.01498,0.00827,0.011,1.0,0.5923
31,-2.0,-0.251,0.01491,0.00913,0.016,0.9967,0.8299
32,-1.75,-0.1923,0.01576,0.00996,0.013,0.9876,0.9265
33,-1.5,-0.0909,0.01666,0.01059,0.001,0.9852,0.9694
34,-1.25,0.0421,0.01689,0.01058,-0.0177,0.9879,0.9991
35,-1.0,0.1135,0.01648,0.01005,-0.0269,0.9727,1.0
36,-0.75,0.1774,0.01597,0.00946,-0.0344,0.9546,1.0
37,-0.5,0.2269,0.01547,0.00889,-0.0388,0.9293,1.0
38,-0.25,0.2638,0.01502,0.00837,-0.0404,0.899,1.0
39,0.0,0.2908,0.01466,0.00792,-0.0398,0.8661,1.0
40,0.25,0.3125,0.0144,0.00754,-0.0381,0.832,1.0
41,0.5,0.3327,0.01421,0.00721,-0.0361,0.797,1.0
42,0.75,0.3528,0.0141,0.00694,-0.0341,0.7614,1.0
43,1.0,0.3734,0.01407,0.00672,-0.0322,0.725,1.0
44,1.25,0.3943,0.01411,0.00654,-0.0305,0.6882,1.0
45,1.5,0.4153,0.01423,0.00643,-0.0289,0.6506,1.0
46,1.75,0.4363,0.01441,0.0064,-0.0274,0.612,1.0
47,2.0,0.4574,0.01465,0.0064,-0.0259,0.5746,1.0
48,2.25,0.4786,0.01495,0.00646,-0.0245,0.5395,1.0
49,2.5,0.4999,0.0153,0.00659,-0.0233,0.5076,1.0
50,2.75,0.5215,0.01569,0.00674,-0.022,0.4802,1.0
51,3.0,0.5432,0.01608,0.00698,-0.0209,0.4547,1.0
52,3.25,0.5653,0.0165,0.00724,-0.0198,0.434,1.0
53,3.5,0.5876,0.01695,0.00754,-0.0188,0.4159,1.0
54,3.75,0.61,0.0174,0.00789,-0.0178,0.3996,1.0
55,4.0,0.6325,0.01787,0.0083,-0.0169,0.385,1.0
56,4.25,0.6552,0.01837,0.00875,-0.016,0.3721,1.0
