,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-17.0,-0.7724,0.11779,0.11327,-0.0324,1.0,0.0626
1,-16.75,-0.8487,0.09925,0.09447,-0.0439,1.0,0.0614
2,-16.5,-0.9147,0.08553,0.08044,-0.0524,1.0,0.0606
3,-16.25,-0.9642,0.07606,0.07066,-0.0574,1.0,0.0603
4,-16.0,-1.0009,0.06917,0.06349,-0.0601,1.0,0.0602
5,-15.75,-1.0297,0.06377,0.05782,-0.0614,1.0,0.0604
6,-15.5,-1.0532,0.05934,0.05313,-0.0615,1.0,0.0606
7,-15.25,-1.0733,0.05559,0.04912,-0.0608,1.0,0.061
8,-15.0,-1.0908,0.05237,0.04563,-0.0594,1.0,0.0614
9,-14.75,-1.1061,0.04961,0.04259,-0.0572,1.0,0.0618
10,-14.5,-1.1207,0.0473,0.03999,-0.0543,1.0,0.0622
11,-14.25,-1.1167,0.04504,0.0376,-0.0527,1.0,0.0629
12,-14.0,-1.0978,0.04361,0.03622,-0.0522,1.0,0.064
13,-13.75,-1.084,0.04237,0.03498,-0.0511,1.0,0.065
14,-13.5,-1.077,0.04097,0.03347,-0.0491,1.0,0.066
15,-13.25,-1.0729,0.03951,0.03185,-0.0466,1.0,0.0669
16,-13.0,-1.0703,0.03812,0.03027,-0.0436,1.0,0.0678
17,-12.75,-1.0714,0.03697,0.0289,-0.0397,1.0,0.0686
18,-12.5,-1.0516,0.03538,0.02727,-0.0391,1.0,0.0698
19,-12.25,-1.0318,0.03433,0.02627,-0.0382,1.0,0.0711
20,-12.0,-1.0197,0.03343,0.02534,-0.036,1.0,0.0723
21,-11.75,-1.0081,0.03252,0.02436,-0.0336,1.0,0.0736
22,-11.5,-0.9978,0.03161,0.02334,-0.0309,1.0,0.0748
23,-11.25,-0.9908,0.03086,0.02243,-0.0275,1.0,0.0759
24,-11.0,-0.9669,0.02965,0.02132,-0.0272,1.0,0.0775
25,-10.75,-0.9525,0.02893,0.02064,-0.0251,1.0,0.079
26,-10.5,-0.9413,0.02827,0.01996,-0.0223,1.0,0.0805
27,-10.25,-0.9311,0.02762,0.01926,-0.0194,1.0,0.082
28,-10.0,-0.9225,0.02706,0.0186,-0.0161,1.0,0.0834
29,-9.75,-0.9089,0.02623,0.01782,-0.0138,1.0,0.0851
30,-9.5,-0.8988,0.02563,0.01729,-0.011,1.0,0.0868
31,-9.25,-0.8902,0.02513,0.01679,-0.0078,1.0,0.0887
32,-9.0,-0.8815,0.02465,0.01628,-0.0046,1.0,0.0906
33,-8.75,-0.8727,0.02423,0.01578,-0.0013,1.0,0.0924
34,-8.5,-0.8639,0.02349,0.01515,0.0016,1.0,0.0946
35,-8.25,-0.8554,0.02303,0.01473,0.0047,1.0,0.097
36,-8.0,-0.8404,0.02258,0.01427,0.0066,0.9992,0.1002
37,-7.75,-0.8027,0.02174,0.0135,0.0041,0.9945,0.105
38,-7.5,-0.7647,0.0211,0.01287,0.0017,0.9896,0.1113
39,-7.25,-0.729,0.02024,0.01212,-0.0005,0.9835,0.1194
40,-7.0,-0.6922,0.01939,0.01139,-0.0028,0.9784,0.1316
41,-6.75,-0.6606,0.01843,0.01059,-0.0041,0.9707,0.1526
42,-6.5,-0.6278,0.01703,0.00971,-0.0062,0.9658,0.2174
43,-6.25,-0.6041,0.01602,0.00922,-0.006,0.9558,0.3084
44,-6.0,-0.5634,0.0155,0.00894,-0.0087,0.9514,0.3668
45,-5.75,-0.5328,0.01521,0.00872,-0.0092,0.9418,0.3993
46,-5.5,-0.4908,0.01488,0.00847,-0.0118,0.9369,0.4285
47,-5.25,-0.4552,0.01462,0.00824,-0.0131,0.9297,0.4519
48,-5.0,-0.4218,0.01434,0.008,-0.0138,0.9209,0.4723
49,-4.75,-0.3828,0.01402,0.00771,-0.0156,0.9157,0.4925
50,-4.5,-0.3577,0.01379,0.00753,-0.0146,0.9028,0.5088
51,-4.25,-0.3234,0.01349,0.00726,-0.0152,0.8955,0.5272
52,-4.0,-0.2991,0.0133,0.00709,-0.014,0.8818,0.5452
53,-3.75,-0.2721,0.01309,0.00693,-0.0132,0.87,0.5654
54,-3.5,-0.2447,0.01287,0.00674,-0.0123,0.8578,0.5858
55,-3.25,-0.2201,0.01272,0.00662,-0.0111,0.8427,0.6051
56,-3.0,-0.194,0.01256,0.00645,-0.01,0.8283,0.6238
57,-2.75,-0.1662,0.01237,0.00627,-0.0093,0.814,0.6399
58,-2.5,-0.1404,0.01222,0.00614,-0.0083,0.7964,0.6548
59,-2.25,-0.1145,0.0121,0.006,-0.0074,0.7786,0.6702
60,-2.0,-0.0886,0.01202,0.00586,-0.0065,0.7608,0.6863
61,-1.75,-0.0617,0.01195,0.0058,-0.0057,0.7431,0.7013
62,-1.5,-0.0351,0.01192,0.00574,-0.0049,0.7257,0.717
63,-1.25,-0.0088,0.01192,0.00567,-0.004,0.7086,0.7336
64,-1.0,0.0166,0.01194,0.00565,-0.0031,0.6906,0.7509
65,-0.75,0.0432,0.01198,0.0057,-0.0023,0.6726,0.7664
66,-0.5,0.0697,0.01205,0.00575,-0.0015,0.6551,0.7819
67,-0.25,0.0959,0.01214,0.00579,-0.0006,0.6382,0.7979
68,0.0,0.1211,0.01225,0.00582,0.0004,0.6216,0.8145
69,0.25,0.1487,0.01241,0.00594,0.001,0.6046,0.8279
70,0.5,0.1754,0.01257,0.00607,0.0018,0.5872,0.8417
71,0.75,0.2004,0.01273,0.00617,0.0028,0.5706,0.8567
72,1.0,0.2297,0.01298,0.00637,0.0031,0.5536,0.8675
73,1.25,0.2565,0.01321,0.00651,0.0038,0.5372,0.8799
74,1.5,0.2851,0.0135,0.00669,0.0041,0.5207,0.8911
75,1.75,0.3154,0.01375,0.00689,0.0041,0.503,0.9007
76,2.0,0.3456,0.01403,0.0071,0.004,0.4853,0.9109
77,2.25,0.3787,0.01433,0.00732,0.0033,0.4673,0.919
78,2.5,0.4152,0.01467,0.00756,0.0017,0.4491,0.9261
79,2.75,0.4467,0.01496,0.00775,0.0012,0.432,0.9352
80,3.0,0.4902,0.01533,0.00799,-0.0019,0.4129,0.9394
81,3.25,0.5265,0.01567,0.0082,-0.0037,0.3961,0.9471
82,3.5,0.5655,0.01598,0.00842,-0.006,0.3798,0.953
83,3.75,0.6079,0.0163,0.00867,-0.009,0.3642,0.958
84,4.0,0.6415,0.01663,0.00892,-0.0104,0.3514,0.9663
85,4.25,0.6851,0.017,0.00914,-0.0138,0.3388,0.9704
86,4.5,0.7242,0.01725,0.00941,-0.0163,0.3276,0.9769
87,4.75,0.764,0.01762,0.00965,-0.0191,0.3179,0.9822
88,5.0,0.8058,0.01784,0.00988,-0.0222,0.3079,0.9874
89,5.25,0.8446,0.01822,0.01015,-0.0249,0.2992,0.9929
90,5.5,0.8868,0.01837,0.01032,-0.0282,0.2893,0.9975
91,5.75,0.9178,0.01873,0.01056,-0.0294,0.2818,1.0
92,6.0,0.9343,0.01889,0.01079,-0.0277,0.276,1.0
93,6.25,0.9507,0.01911,0.011,-0.026,0.2707,1.0
94,6.5,0.9682,0.01951,0.01128,-0.0245,0.2657,1.0
95,6.75,0.9837,0.01975,0.0116,-0.0225,0.261,1.0
96,7.0,0.9989,0.02,0.01189,-0.0205,0.2561,1.0
97,7.25,1.014,0.02029,0.01215,-0.0184,0.2515,1.0
98,7.5,1.0311,0.02079,0.01256,-0.0168,0.2469,1.0
99,7.75,1.0439,0.02104,0.01293,-0.0143,0.2426,1.0
100,8.0,1.0577,0.02135,0.01327,-0.0119,0.2381,1.0
101,8.25,1.0721,0.0217,0.01358,-0.0098,0.2339,1.0
102,8.5,1.0887,0.02224,0.01406,-0.008,0.2295,1.0
103,8.75,1.0993,0.02254,0.01448,-0.0051,0.2252,1.0
104,9.0,1.1115,0.02287,0.01484,-0.0025,0.2208,1.0
105,9.25,1.1257,0.02327,0.01519,-0.0003,0.2167,1.0
