,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-10.75,-0.5047,0.12904,0.12168,0.0135,1.0,0.2848
1,-10.5,-0.5118,0.12671,0.11943,0.0128,1.0,0.2973
2,-10.25,-0.5206,0.12519,0.11797,0.0125,1.0,0.3117
3,-10.0,-0.5113,0.12175,0.11455,0.0133,1.0,0.3281
4,-9.75,-0.5055,0.11864,0.11148,0.0139,1.0,0.3448
5,-9.5,-0.5015,0.1157,0.10859,0.0146,1.0,0.3616
6,-9.25,-0.4936,0.11236,0.10528,0.0154,1.0,0.3786
7,-9.0,-0.4844,0.10893,0.10188,0.0162,1.0,0.3954
8,-8.75,-0.476,0.10561,0.09859,0.017,1.0,0.4123
9,-8.5,-0.4651,0.10207,0.09508,0.0178,1.0,0.4294
10,-8.25,-0.4533,0.0985,0.09154,0.0186,1.0,0.4467
11,-8.0,-0.4479,0.09551,0.08859,0.0195,1.0,0.4633
12,-7.75,-0.423,0.09056,0.08361,0.0188,1.0,0.4692
13,-7.25,-0.6036,0.06155,0.05448,-0.0185,1.0,0.2082
14,-7.0,-0.6138,0.05457,0.04681,-0.0194,1.0,0.1781
15,-6.75,-0.6098,0.04997,0.0416,-0.018,1.0,0.1632
16,-6.5,-0.5985,0.04632,0.03763,-0.0164,1.0,0.1575
17,-6.25,-0.5883,0.04319,0.03383,-0.0143,1.0,0.1524
18,-6.0,-0.5734,0.04118,0.03116,-0.012,1.0,0.15
19,-5.75,-0.5544,0.03843,0.02819,-0.0106,1.0,0.1491
20,-5.5,-0.5343,0.03604,0.02551,-0.0091,1.0,0.1485
21,-5.25,-0.5141,0.03423,0.02329,-0.0074,1.0,0.1499
22,-5.0,-0.4919,0.03189,0.02091,-0.0063,1.0,0.1534
23,-4.75,-0.4682,0.03013,0.01906,-0.0052,1.0,0.1566
24,-4.5,-0.444,0.02866,0.01743,-0.0041,1.0,0.1619
25,-4.25,-0.4187,0.02722,0.01591,-0.0031,1.0,0.1689
26,-4.0,-0.3926,0.0259,0.01466,-0.0021,1.0,0.178
27,-3.75,-0.3673,0.02468,0.01355,-0.0012,1.0,0.191
28,-3.5,-0.344,0.02357,0.01255,0.0,1.0,0.2081
29,-3.25,-0.3239,0.02239,0.01165,0.0013,1.0,0.2363
30,-3.0,-0.3096,0.0206,0.01087,0.0033,1.0,0.3316
31,-2.75,0.0002,0.0227,0.01377,-0.0271,1.0,1.0
32,-2.5,0.0063,0.02214,0.01317,-0.0255,1.0,1.0
33,-2.25,0.0088,0.02169,0.0127,-0.0233,1.0,1.0
34,-2.0,0.0071,0.02134,0.01234,-0.0203,1.0,1.0
35,-1.75,0.0008,0.02111,0.01211,-0.0166,1.0,1.0
36,-1.5,-0.0103,0.021,0.012,-0.0121,1.0,1.0
37,-1.25,-0.0241,0.02099,0.01198,-0.0071,1.0,1.0
38,-1.0,-0.0372,0.0211,0.01204,-0.0023,1.0,1.0
