,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-9.25,-0.5158,0.11581,0.10876,-0.0005,1.0,0.2147
1,-9.0,-0.5047,0.11139,0.10435,0.0,1.0,0.2243
2,-8.75,-0.5244,0.11068,0.10379,-0.0033,1.0,0.2309
3,-8.5,-0.5127,0.10634,0.09946,-0.0023,1.0,0.2449
4,-8.25,-0.5012,0.10208,0.09521,-0.0015,1.0,0.2582
5,-8.0,-0.4921,0.09805,0.09121,-0.001,1.0,0.2692
6,-7.75,-0.4902,0.09472,0.08794,-0.0011,1.0,0.2807
7,-7.25,-0.4846,0.0883,0.08163,-0.0003,1.0,0.3105
8,-7.0,-0.4846,0.08558,0.07899,0.0007,1.0,0.3308
9,-6.75,-0.4857,0.08261,0.07611,0.0014,1.0,0.351
10,-6.5,-0.4754,0.07928,0.0728,0.0035,1.0,0.3751
11,-6.25,-0.4705,0.07597,0.06952,0.0049,1.0,0.397
12,-5.5,-0.4465,0.04776,0.04,-0.0398,1.0,0.1601
13,-5.25,-0.4272,0.04311,0.03498,-0.0403,1.0,0.1525
14,-5.0,-0.4072,0.03925,0.03059,-0.0407,1.0,0.1547
15,-4.75,-0.385,0.03567,0.02638,-0.0408,1.0,0.1562
16,-4.5,-0.3609,0.03247,0.02253,-0.0405,1.0,0.1573
17,-4.25,-0.3387,0.03039,0.02033,-0.0397,1.0,0.1676
18,-4.0,-0.3137,0.02816,0.01765,-0.0392,1.0,0.1754
19,-3.75,-0.2883,0.02626,0.01548,-0.0385,1.0,0.1834
20,-3.5,-0.2627,0.02455,0.01358,-0.0378,1.0,0.1952
21,-3.25,-0.2371,0.02316,0.01202,-0.0371,1.0,0.2177
22,-3.0,-0.2125,0.02182,0.01085,-0.0362,1.0,0.2541
23,-2.75,-0.1858,0.02018,0.00951,-0.0355,1.0,0.3257
24,-2.5,-0.1645,0.0179,0.00857,-0.0337,1.0,0.5168
25,-2.25,-0.1218,0.016,0.00775,-0.0327,1.0,1.0
26,-2.0,-0.1006,0.01601,0.00727,-0.032,1.0,1.0
27,-1.75,-0.0793,0.01607,0.00695,-0.0313,1.0,1.0
28,-1.5,-0.0579,0.01616,0.00673,-0.0306,1.0,1.0
29,-1.25,-0.0363,0.01628,0.00657,-0.03,1.0,1.0
30,-1.0,-0.0147,0.01644,0.00651,-0.0294,1.0,1.0
31,-0.75,0.0068,0.01664,0.00651,-0.0288,1.0,1.0
32,-0.5,0.0283,0.01687,0.00656,-0.0284,1.0,1.0
33,-0.25,0.0497,0.01714,0.00669,-0.0279,1.0,1.0
34,0.0,0.0709,0.01747,0.0069,-0.0276,1.0,1.0
35,0.25,0.0918,0.01784,0.00717,-0.0273,1.0,1.0
36,0.5,0.1125,0.01826,0.00751,-0.0271,1.0,1.0
37,0.75,0.1327,0.01875,0.00795,-0.0269,1.0,1.0
38,1.0,0.1525,0.01931,0.00846,-0.0268,1.0,1.0
39,1.25,0.1719,0.01995,0.00907,-0.0269,1.0,1.0
40,1.5,0.1907,0.02066,0.00978,-0.027,1.0,1.0
