,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-11.75,-0.7369,0.07551,0.06719,-0.0469,1.0,0.1785
1,-11.5,-0.7734,0.0699,0.06147,-0.0457,1.0,0.1774
2,-11.25,-0.8107,0.06557,0.05703,-0.0422,1.0,0.1764
3,-11.0,-0.8415,0.06179,0.05306,-0.0379,1.0,0.176
4,-10.75,-0.8654,0.05835,0.0494,-0.0335,1.0,0.1761
5,-10.5,-0.8836,0.05525,0.04603,-0.0291,1.0,0.1766
6,-10.25,-0.8971,0.05242,0.04288,-0.0246,1.0,0.1776
7,-10.0,-0.9078,0.04985,0.03993,-0.02,1.0,0.1789
8,-9.75,-0.8911,0.04761,0.0378,-0.0187,1.0,0.1829
9,-9.5,-0.8803,0.04573,0.03586,-0.0164,1.0,0.1869
10,-9.25,-0.8761,0.0437,0.0336,-0.0132,1.0,0.1906
11,-9.0,-0.8748,0.04176,0.03127,-0.0094,1.0,0.1944
12,-8.75,-0.8538,0.0401,0.02981,-0.0084,1.0,0.2007
13,-8.5,-0.8426,0.03855,0.02812,-0.0058,1.0,0.2074
14,-8.25,-0.8267,0.03699,0.02657,-0.0039,1.0,0.2148
15,-8.0,-0.8129,0.03571,0.02525,-0.0016,1.0,0.2246
16,-7.75,-0.7954,0.03444,0.02414,0.0001,1.0,0.2361
17,-7.5,-0.7807,0.03323,0.02302,0.0023,1.0,0.2505
18,-7.25,-0.7672,0.03213,0.02209,0.0048,1.0,0.2694
19,-7.0,-0.7564,0.03108,0.02124,0.0077,1.0,0.2949
20,-6.75,-0.7478,0.03017,0.02071,0.0111,1.0,0.33
21,-6.5,-0.7426,0.02942,0.02038,0.0152,1.0,0.3791
22,-6.25,-0.7386,0.02909,0.02038,0.0199,1.0,0.4353
23,-6.0,-0.7274,0.02937,0.021,0.024,1.0,0.4824
24,-5.75,-0.7163,0.02966,0.02139,0.0279,1.0,0.521
25,-5.5,-0.7009,0.03023,0.0221,0.0313,1.0,0.5531
26,-5.25,-0.6886,0.03055,0.02246,0.0348,1.0,0.5828
27,-5.0,-0.6707,0.03142,0.02345,0.0382,1.0,0.6095
28,-4.75,-0.655,0.03212,0.02421,0.0416,1.0,0.6352
29,-4.5,-0.6404,0.03265,0.02478,0.0449,1.0,0.6592
30,-4.25,-0.6259,0.03312,0.02525,0.0479,1.0,0.6814
31,-4.0,-0.6115,0.03364,0.02578,0.051,1.0,0.7037
32,-3.75,-0.5982,0.03421,0.02636,0.0542,1.0,0.7271
33,-3.5,-0.5856,0.03472,0.02686,0.0573,1.0,0.7505
34,-3.25,-0.5687,0.0354,0.02755,0.0598,1.0,0.7719
35,-3.0,-0.5476,0.03603,0.02815,0.0611,1.0,0.7902
36,-2.75,-0.4894,0.03727,0.02927,0.0556,0.9904,0.8088
37,-2.5,-0.4061,0.03879,0.03064,0.0456,0.9736,0.8269
38,-2.25,-0.3179,0.04004,0.03173,0.0346,0.9564,0.8442
39,-2.0,-0.2261,0.04092,0.03246,0.0227,0.9389,0.8612
40,-1.75,-0.1298,0.04139,0.0328,0.0099,0.9208,0.8784
41,-1.5,-0.0381,0.04141,0.03271,-0.0021,0.9022,0.8957
42,-1.25,0.0845,0.04084,0.03205,-0.0189,0.8832,0.9099
43,-1.0,0.1917,0.03956,0.03072,-0.033,0.8642,0.9256
44,-0.75,0.2788,0.03804,0.02915,-0.0433,0.8436,0.9414
45,-0.5,0.3525,0.03645,0.02753,-0.051,0.8215,0.9573
46,-0.25,0.4169,0.03488,0.0259,-0.057,0.7983,0.9731
47,0.0,0.4768,0.03329,0.02423,-0.0623,0.7743,0.9888
48,0.25,0.5224,0.0322,0.02308,-0.0656,0.7483,1.0
49,0.5,0.5367,0.03188,0.02267,-0.0637,0.7264,1.0
50,0.75,0.5512,0.03162,0.02233,-0.0617,0.7054,1.0
51,1.0,0.5659,0.03141,0.02202,-0.0597,0.6848,1.0
52,1.25,0.5812,0.03124,0.02174,-0.0578,0.6651,1.0
53,1.5,0.5971,0.03113,0.02151,-0.0559,0.6462,1.0
54,1.75,0.6114,0.03126,0.02157,-0.0541,0.6266,1.0
55,2.0,0.6256,0.03148,0.02173,-0.0523,0.6076,1.0
56,2.25,0.6397,0.03181,0.02202,-0.0505,0.5897,1.0
57,2.5,0.6545,0.03218,0.02233,-0.0488,0.5732,1.0
58,2.75,0.6721,0.03237,0.0224,-0.0471,0.5588,1.0
59,3.0,0.6877,0.03276,0.02273,-0.0453,0.544,1.0
60,3.25,0.6984,0.03363,0.02364,-0.0434,0.5295,1.0
61,3.5,0.7166,0.03399,0.02388,-0.0417,0.518,1.0
62,3.75,0.7262,0.03492,0.02487,-0.0395,0.505,1.0
63,4.0,0.7381,0.03583,0.02577,-0.0374,0.4943,1.0
64,4.25,0.7499,0.03669,0.02663,-0.0353,0.4836,1.0
65,4.5,0.7589,0.03782,0.02778,-0.0329,0.4741,1.0
66,4.75,0.7653,0.03905,0.02906,-0.0302,0.4643,1.0
67,5.0,0.7828,0.03976,0.02969,-0.0285,0.4564,1.0
68,5.25,0.7672,0.04233,0.03246,-0.0239,0.4478,1.0
69,5.5,0.7933,0.04252,0.03255,-0.0229,0.4399,1.0
70,5.75,0.7741,0.04539,0.03556,-0.0179,0.433,1.0
71,6.0,0.7413,0.04897,0.03928,-0.0121,0.4267,1.0
72,6.25,0.7983,0.04764,0.03777,-0.0136,0.4187,1.0
73,6.5,0.7326,0.05335,0.04365,-0.0054,0.4144,1.0
74,6.75,0.5659,0.0673,0.05753,0.0041,0.4146,1.0
75,7.0,0.5039,0.07622,0.06638,0.004,0.4135,1.0
76,7.25,0.4796,0.08189,0.07203,0.0036,0.4131,1.0
77,7.5,0.4653,0.08676,0.07689,0.003,0.413,1.0
78,7.75,0.4602,0.09119,0.08132,0.0024,0.4144,1.0
79,8.0,0.4637,0.09531,0.08546,0.0016,0.4161,1.0
80,8.25,0.4776,0.09925,0.08945,0.0007,0.4177,1.0
81,8.5,0.3584,0.1112,0.10144,-0.0059,0.5124,1.0
82,8.75,0.3939,0.11523,0.1055,-0.0071,0.501,1.0
