,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-19.75,-1.1814,0.08601,0.08127,-0.0457,1.0,0.0356
1,-19.5,-1.1902,0.08128,0.07638,-0.048,1.0,0.036
2,-19.25,-1.199,0.07665,0.07159,-0.0502,1.0,0.0363
3,-19.0,-1.2072,0.07222,0.06699,-0.0522,1.0,0.0366
4,-18.75,-1.206,0.0694,0.06411,-0.0527,1.0,0.037
5,-18.5,-1.2007,0.06709,0.0618,-0.0531,1.0,0.0374
6,-18.25,-1.1969,0.06453,0.05921,-0.0538,1.0,0.0378
7,-18.0,-1.1938,0.06189,0.05652,-0.0546,1.0,0.0382
8,-17.75,-1.1911,0.05923,0.0538,-0.0553,1.0,0.0386
9,-17.5,-1.1888,0.05655,0.05104,-0.056,1.0,0.0391
10,-17.25,-1.187,0.05389,0.04827,-0.0566,1.0,0.0396
11,-17.0,-1.1847,0.05135,0.04562,-0.057,1.0,0.0401
12,-16.75,-1.1825,0.04887,0.04301,-0.0574,1.0,0.0406
13,-16.5,-1.1804,0.04648,0.04047,-0.0577,1.0,0.041
14,-16.25,-1.1707,0.04488,0.03887,-0.0569,1.0,0.0416
15,-16.0,-1.1616,0.04326,0.03726,-0.0566,1.0,0.0421
16,-15.75,-1.1529,0.04163,0.0356,-0.0563,1.0,0.0425
17,-15.5,-1.1442,0.04002,0.03395,-0.056,1.0,0.0431
18,-15.25,-1.1354,0.03844,0.03231,-0.0556,1.0,0.0437
19,-15.0,-1.1267,0.0369,0.03069,-0.0551,1.0,0.0443
20,-14.75,-1.1176,0.03544,0.02914,-0.0545,1.0,0.045
21,-14.5,-1.1082,0.03407,0.02765,-0.0539,1.0,0.0455
22,-14.25,-1.0967,0.03273,0.02629,-0.0529,1.0,0.0462
23,-14.0,-1.0849,0.03151,0.02509,-0.0519,1.0,0.0468
24,-13.75,-1.0727,0.03039,0.02396,-0.051,1.0,0.0475
25,-13.5,-1.0605,0.02934,0.02288,-0.05,1.0,0.0482
26,-13.25,-1.048,0.02833,0.02183,-0.0489,1.0,0.049
27,-13.0,-1.0352,0.02739,0.02083,-0.0477,1.0,0.0498
28,-12.75,-1.0221,0.02654,0.01989,-0.0464,1.0,0.0505
29,-12.5,-1.0101,0.02555,0.01887,-0.0449,1.0,0.0512
30,-12.25,-0.9995,0.02451,0.01785,-0.0431,1.0,0.052
31,-12.0,-0.9882,0.0237,0.01705,-0.0413,1.0,0.0528
32,-11.75,-0.9771,0.023,0.01634,-0.0392,1.0,0.0536
33,-11.5,-0.9675,0.02238,0.01569,-0.0367,1.0,0.0545
34,-11.25,-0.9604,0.02185,0.01512,-0.0335,1.0,0.0553
35,-11.0,-0.9561,0.02142,0.01464,-0.0297,1.0,0.056
36,-10.75,-0.958,0.02106,0.01423,-0.0247,1.0,0.0565
37,-10.5,-0.9748,0.02065,0.01382,-0.017,1.0,0.057
38,-10.25,-0.9878,0.02031,0.01348,-0.0098,1.0,0.0575
39,-10.0,-0.9603,0.01965,0.01283,-0.0104,0.9976,0.0588
40,-9.75,-0.925,0.01905,0.01223,-0.0124,0.9947,0.0605
41,-9.5,-0.8883,0.01854,0.01166,-0.0145,0.9925,0.0621
42,-9.25,-0.8598,0.01772,0.01087,-0.0152,0.988,0.0639
43,-9.0,-0.8267,0.01712,0.01028,-0.0167,0.9844,0.0658
44,-8.75,-0.7909,0.01663,0.00978,-0.0186,0.9819,0.0681
45,-8.5,-0.7553,0.01598,0.00915,-0.0205,0.98,0.0707
46,-8.25,-0.726,0.01548,0.00867,-0.021,0.9744,0.0734
47,-8.0,-0.6909,0.01501,0.00819,-0.0226,0.9709,0.0766
48,-7.75,-0.6569,0.01445,0.00769,-0.0241,0.9675,0.0811
49,-7.5,-0.6289,0.014,0.00726,-0.0241,0.9609,0.0862
50,-7.25,-0.6,0.01355,0.00685,-0.0243,0.9543,0.0934
51,-7.0,-0.5746,0.01306,0.00643,-0.0238,0.9468,0.1045
52,-6.75,-0.5517,0.01255,0.00602,-0.0228,0.9375,0.1218
53,-6.5,-0.5304,0.01199,0.0056,-0.0215,0.9278,0.148
54,-6.25,-0.511,0.0113,0.00515,-0.0199,0.9175,0.1933
55,-6.0,-0.4926,0.01066,0.00479,-0.0181,0.9057,0.2512
56,-5.75,-0.4701,0.01022,0.0045,-0.0169,0.8954,0.2943
57,-5.5,-0.4476,0.00989,0.0043,-0.0157,0.8825,0.3274
58,-5.25,-0.4229,0.00966,0.00412,-0.0148,0.8706,0.3544
59,-5.0,-0.3978,0.00947,0.00395,-0.014,0.8577,0.3763
60,-4.75,-0.3725,0.0093,0.00381,-0.0133,0.8434,0.396
61,-4.5,-0.3468,0.00915,0.00367,-0.0126,0.8293,0.4144
62,-4.25,-0.3211,0.00902,0.00353,-0.0118,0.8141,0.4311
63,-4.0,-0.2953,0.00891,0.00341,-0.0111,0.7971,0.4466
64,-3.75,-0.2691,0.00882,0.0033,-0.0105,0.7796,0.4618
65,-3.5,-0.2428,0.00876,0.0032,-0.0099,0.7614,0.4775
66,-3.25,-0.2171,0.00869,0.00311,-0.0093,0.7428,0.4945
67,-3.0,-0.1915,0.00863,0.00304,-0.0086,0.7245,0.513
68,-2.75,-0.1656,0.00858,0.00297,-0.0079,0.7067,0.5303
69,-2.5,-0.1398,0.00854,0.00292,-0.0073,0.689,0.5481
70,-2.25,-0.1138,0.00849,0.00288,-0.0067,0.6712,0.567
71,-2.0,-0.0876,0.00847,0.00284,-0.0061,0.6533,0.585
72,-1.5,-0.0353,0.00844,0.00278,-0.005,0.6188,0.6192
73,-1.25,-0.0092,0.00844,0.00277,-0.0044,0.6013,0.6348
74,-1.0,0.0171,0.00846,0.00275,-0.0039,0.5841,0.6503
75,-0.75,0.0438,0.00847,0.00275,-0.0035,0.5681,0.6665
76,-0.5,0.0701,0.00849,0.00277,-0.003,0.5524,0.6835
77,-0.25,0.0963,0.00852,0.00279,-0.0024,0.5371,0.7002
78,0.0,0.1225,0.00856,0.00283,-0.0019,0.5221,0.7168
79,0.25,0.1493,0.00859,0.00287,-0.0015,0.5081,0.7336
80,1.0,0.2285,0.00878,0.00305,0.0,0.4645,0.7827
81,1.25,0.255,0.00886,0.00312,0.0005,0.4507,0.798
82,1.5,0.281,0.00898,0.00319,0.001,0.4362,0.8132
83,1.75,0.3073,0.00908,0.0033,0.0015,0.421,0.8271
84,2.0,0.3336,0.00919,0.0034,0.002,0.4056,0.8406
85,2.25,0.3594,0.00934,0.0035,0.0026,0.3905,0.8545
86,2.5,0.3853,0.00951,0.00364,0.0032,0.3756,0.8664
87,2.75,0.4107,0.00968,0.00377,0.0038,0.3607,0.8789
88,3.0,0.4366,0.00986,0.00393,0.0044,0.3467,0.8904
89,3.25,0.462,0.01006,0.00409,0.0051,0.3332,0.901
90,3.5,0.4861,0.01031,0.00427,0.006,0.32,0.9125
91,3.75,0.5128,0.01051,0.00446,0.0064,0.3088,0.9211
92,4.0,0.5367,0.01075,0.00465,0.0073,0.2989,0.9318
93,4.25,0.5646,0.011,0.00487,0.0074,0.2894,0.9389
94,4.5,0.59,0.01127,0.00509,0.008,0.2805,0.9481
95,4.75,0.6201,0.01152,0.00531,0.0076,0.2716,0.954
96,5.0,0.6512,0.01185,0.00558,0.0068,0.2633,0.9596
97,5.25,0.6804,0.01207,0.0058,0.0066,0.2563,0.9665
98,5.5,0.7169,0.01246,0.0061,0.0046,0.2482,0.9692
99,5.75,0.7558,0.0127,0.00635,0.0022,0.2425,0.9718
100,6.0,0.7922,0.013,0.00661,0.0002,0.2364,0.9752
101,6.25,0.8233,0.01338,0.00693,-0.0007,0.2304,0.9802
102,6.5,0.8633,0.01358,0.00717,-0.0034,0.226,0.9818
103,6.75,0.9014,0.01386,0.00743,-0.0058,0.2209,0.9841
104,7.0,0.9368,0.01424,0.00775,-0.0077,0.2156,0.9872
105,7.25,0.9722,0.0145,0.00804,-0.0095,0.2113,0.9908
106,7.5,1.0088,0.01474,0.00829,-0.0116,0.2067,0.9933
107,7.75,1.0455,0.01506,0.00858,-0.0139,0.2019,0.9956
108,8.0,1.081,0.01544,0.00894,-0.0159,0.1973,0.9981
109,8.25,1.115,0.01564,0.00919,-0.0175,0.1934,1.0
110,8.5,1.1268,0.01582,0.00938,-0.0147,0.1901,1.0
111,8.75,1.136,0.01606,0.0096,-0.0115,0.1867,1.0
112,9.0,1.1427,0.01637,0.00989,-0.0078,0.1832,1.0
113,9.25,1.1539,0.01649,0.01007,-0.0048,0.1802,1.0
114,9.5,1.1627,0.01667,0.01028,-0.0014,0.1768,1.0
115,9.75,1.1647,0.01688,0.01048,0.0032,0.1734,1.0
116,10.0,1.1654,0.01725,0.0108,0.008,0.1697,1.0
117,10.25,1.1784,0.01743,0.01104,0.0105,0.1661,1.0
118,10.5,1.191,0.01774,0.01137,0.0129,0.1615,1.0
119,10.75,1.2017,0.01826,0.01185,0.0153,0.1569,1.0
120,11.0,1.2188,0.01862,0.01226,0.0167,0.1526,1.0
121,11.25,1.2339,0.01911,0.01276,0.0182,0.148,1.0
122,11.5,1.246,0.0198,0.01342,0.02,0.1437,1.0
123,11.75,1.2633,0.02029,0.01396,0.0211,0.1392,1.0
124,12.0,1.2766,0.02101,0.01467,0.0225,0.1348,1.0
125,12.25,1.2897,0.02179,0.01547,0.0238,0.1307,1.0
126,12.5,1.3042,0.02253,0.01625,0.0249,0.1265,1.0
127,12.75,1.3145,0.02356,0.01726,0.0262,0.1228,1.0
128,13.0,1.3272,0.02449,0.01824,0.0272,0.1195,1.0
