,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
92,13.0,1.3071,0.03356,0.02678,0.0226,0.0746,1.0
93,13.25,1.3087,0.03552,0.02885,0.0239,0.0705,1.0
94,13.5,1.3101,0.03756,0.03099,0.0247,0.0668,1.0
95,13.75,1.3079,0.0401,0.03349,0.0254,0.0638,1.0
96,14.0,1.307,0.04276,0.03638,0.0255,0.0609,1.0
97,14.25,1.305,0.04564,0.03936,0.0252,0.0583,1.0
98,14.5,1.3016,0.04872,0.04241,0.0249,0.0561,1.0
99,14.75,1.2962,0.05235,0.04624,0.024,0.0541,1.0
100,15.0,1.2903,0.05618,0.05023,0.0228,0.0522,1.0
101,15.25,1.2849,0.05999,0.05413,0.0214,0.0505,1.0
102,15.5,1.2806,0.06357,0.05771,0.0204,0.0489,1.0
103,15.75,1.2737,0.0676,0.06183,0.0193,0.0476,1.0
104,16.0,1.2623,0.07267,0.0671,0.0171,0.0465,1.0
105,16.25,1.2516,0.07771,0.07231,0.0148,0.0455,1.0
106,16.5,1.242,0.08265,0.07737,0.0126,0.0445,1.0
107,16.75,1.2354,0.08713,0.08193,0.0106,0.0434,1.0
108,17.0,1.2351,0.09038,0.08516,0.0097,0.0423,1.0
109,17.25,1.2283,0.09477,0.08961,0.0083,0.0413,1.0
110,17.5,1.2101,0.10178,0.09685,0.0044,0.0409,1.0
111,17.75,1.1904,0.10928,0.10455,0.0001,0.0406,1.0
112,18.0,1.168,0.1175,0.11297,-0.0047,0.0403,1.0
113,18.25,1.141,0.12703,0.12271,-0.0104,0.0402,1.0
114,18.5,1.1019,0.13967,0.13558,-0.0181,0.0404,1.0
