,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-10.75,-0.7776,0.05538,0.05236,-0.0376,1.0,0.0249
1,-10.5,-0.7894,0.05231,0.04919,-0.0355,1.0,0.0248
2,-10.25,-0.8005,0.04833,0.04501,-0.0336,1.0,0.0246
3,-10.0,-0.8137,0.04322,0.03958,-0.031,1.0,0.0244
4,-9.75,-0.8319,0.03644,0.03223,-0.0271,1.0,0.0244
5,-9.5,-0.8389,0.03138,0.02649,-0.0231,1.0,0.0249
6,-9.25,-0.8333,0.02849,0.02316,-0.02,1.0,0.0252
7,-9.0,-0.8213,0.02607,0.02057,-0.018,1.0,0.0256
8,-8.75,-0.8041,0.02503,0.01948,-0.0164,1.0,0.026
9,-8.5,-0.786,0.02424,0.01865,-0.0148,1.0,0.0264
10,-8.25,-0.7685,0.0233,0.01761,-0.013,1.0,0.0269
11,-8.0,-0.7513,0.02232,0.01651,-0.0112,1.0,0.0276
12,-7.75,-0.734,0.02128,0.0153,-0.0092,1.0,0.0283
13,-7.5,-0.7164,0.0203,0.01414,-0.0073,1.0,0.029
14,-7.25,-0.6982,0.01957,0.01324,-0.0053,1.0,0.0294
15,-7.0,-0.6802,0.01805,0.01167,-0.0037,1.0,0.0301
16,-6.75,-0.6614,0.01741,0.01103,-0.0021,1.0,0.0307
17,-6.5,-0.642,0.01689,0.01049,-0.0006,1.0,0.0314
18,-6.25,-0.6055,0.0163,0.00986,-0.0025,0.9976,0.0326
19,-6.0,-0.5683,0.0157,0.00919,-0.0044,0.9952,0.0338
20,-5.75,-0.5327,0.0148,0.00823,-0.0061,0.9926,0.0349
21,-5.5,-0.4974,0.01408,0.00756,-0.0078,0.9889,0.0362
22,-5.25,-0.4597,0.01359,0.00707,-0.0099,0.9858,0.0377
23,-5.0,-0.4204,0.01318,0.00663,-0.0123,0.9835,0.0397
24,-4.75,-0.3873,0.01247,0.00594,-0.0135,0.9779,0.0418
25,-4.5,-0.3491,0.01203,0.00553,-0.0157,0.9741,0.0442
26,-4.25,-0.3112,0.01168,0.00515,-0.0176,0.9699,0.0468
27,-4.0,-0.281,0.01112,0.00464,-0.0181,0.9607,0.0507
28,-3.75,-0.2495,0.01085,0.00435,-0.0185,0.9495,0.0546
29,-3.5,-0.2218,0.01038,0.00391,-0.0182,0.9346,0.0598
30,-3.25,-0.1946,0.01014,0.00363,-0.0177,0.9184,0.0647
31,-3.0,-0.1688,0.00982,0.00333,-0.017,0.9022,0.0727
32,-2.75,-0.1431,0.00956,0.00306,-0.0162,0.8841,0.0825
33,-2.5,-0.1175,0.0093,0.00281,-0.0154,0.8644,0.0983
34,-2.25,-0.097,0.00829,0.0024,-0.0142,0.8439,0.2698
35,-2.0,-0.0785,0.00727,0.00218,-0.0127,0.822,0.4948
36,-1.75,-0.0559,0.00688,0.00209,-0.0114,0.7979,0.5942
37,-1.5,-0.032,0.00667,0.00203,-0.0102,0.7742,0.6605
38,-1.25,-0.0077,0.00654,0.00199,-0.0092,0.7495,0.7156
39,-1.0,0.017,0.00648,0.00198,-0.0081,0.7233,0.76
40,-0.75,0.0419,0.00647,0.00198,-0.0071,0.6965,0.7985
41,-0.5,0.0669,0.0065,0.002,-0.006,0.6704,0.833
42,-0.25,0.0923,0.00657,0.00204,-0.0051,0.6439,0.861
43,0.0,0.1175,0.00668,0.00209,-0.0041,0.6163,0.886
44,0.25,0.1425,0.00683,0.00216,-0.003,0.5878,0.91
45,0.5,0.1685,0.00703,0.00227,-0.0021,0.5607,0.9308
46,0.75,0.196,0.00723,0.00235,-0.0016,0.5331,0.9439
47,1.0,0.225,0.00743,0.00242,-0.0017,0.5037,0.954
48,1.25,0.2576,0.00765,0.00249,-0.0025,0.4734,0.9609
49,1.5,0.2901,0.00789,0.00258,-0.0034,0.4446,0.9681
50,1.75,0.3256,0.00814,0.00267,-0.005,0.4144,0.973
51,2.0,0.3644,0.0084,0.00277,-0.0074,0.3834,0.9761
52,2.25,0.4007,0.00864,0.00288,-0.0093,0.3562,0.9807
53,2.5,0.4372,0.00889,0.00299,-0.0112,0.3321,0.9846
54,2.75,0.4758,0.00912,0.0031,-0.0136,0.3109,0.9874
55,3.0,0.513,0.00934,0.00321,-0.0157,0.2936,0.991
56,3.25,0.5496,0.00956,0.00335,-0.0177,0.2798,0.9944
57,3.5,0.588,0.00974,0.00346,-0.0201,0.2674,0.9969
58,3.75,0.626,0.00991,0.00358,-0.0224,0.2574,0.9996
59,4.25,0.6741,0.01021,0.00382,-0.0212,0.2428,1.0
60,4.5,0.6967,0.01039,0.00396,-0.0203,0.236,1.0
61,4.75,0.7194,0.01057,0.00413,-0.0193,0.2303,1.0
62,5.0,0.7423,0.01071,0.00427,-0.0184,0.2246,1.0
63,5.25,0.7644,0.01095,0.00445,-0.0174,0.2186,1.0
64,5.5,0.7872,0.01112,0.00465,-0.0164,0.2137,1.0
65,5.75,0.8101,0.01128,0.00482,-0.0155,0.2084,1.0
66,6.0,0.832,0.01155,0.00504,-0.0145,0.203,1.0
67,6.25,0.8549,0.01174,0.00526,-0.0135,0.1983,1.0
68,6.5,0.8781,0.01191,0.00545,-0.0126,0.1933,1.0
69,6.75,0.9004,0.01218,0.00568,-0.0117,0.188,1.0
70,7.0,0.9234,0.0124,0.00593,-0.0108,0.1832,1.0
71,7.25,0.947,0.01257,0.00613,-0.01,0.178,1.0
72,7.5,0.9692,0.01287,0.00639,-0.009,0.1725,1.0
73,7.75,0.9927,0.01308,0.00665,-0.0083,0.1678,1.0
74,8.0,1.0163,0.01329,0.00688,-0.0076,0.1623,1.0
75,8.25,1.0386,0.01364,0.00719,-0.0067,0.1564,1.0
76,8.5,1.0632,0.0138,0.00743,-0.0062,0.1509,1.0
77,8.75,1.0861,0.01413,0.00772,-0.0054,0.1449,1.0
78,9.0,1.1099,0.01439,0.00804,-0.0048,0.1395,1.0
79,9.25,1.1332,0.0147,0.00835,-0.0042,0.1332,1.0
80,9.5,1.1563,0.01504,0.00871,-0.0036,0.1272,1.0
81,9.75,1.1793,0.01539,0.00905,-0.0029,0.12,1.0
82,10.0,1.2021,0.01576,0.00944,-0.0023,0.1132,1.0
83,10.25,1.2235,0.01624,0.0099,-0.0015,0.1056,1.0
84,10.5,1.2461,0.01662,0.01032,-0.0009,0.0989,1.0
85,10.75,1.2668,0.01715,0.01084,0.0,0.0921,1.0
86,11.0,1.2872,0.01769,0.01138,0.0008,0.085,1.0
87,11.25,1.3072,0.01825,0.01197,0.0018,0.0783,1.0
88,11.5,1.3255,0.01892,0.01264,0.0029,0.0717,1.0
89,11.75,1.3428,0.01964,0.01335,0.0041,0.0653,1.0
90,12.0,1.36,0.02034,0.01409,0.0053,0.0597,1.0
91,12.25,1.3742,0.02121,0.01497,0.0068,0.0547,1.0
92,12.5,1.387,0.02203,0.01582,0.0086,0.0502,1.0
93,12.75,1.3967,0.02296,0.0168,0.0108,0.0465,1.0
94,13.0,1.4054,0.02399,0.01787,0.0128,0.0431,1.0
95,13.25,1.4124,0.02518,0.01912,0.0149,0.0403,1.0
96,13.5,1.4198,0.02641,0.02042,0.0165,0.0377,1.0
97,13.75,1.4206,0.0282,0.02226,0.0183,0.0355,1.0
98,14.0,1.4279,0.02964,0.0238,0.0194,0.0336,1.0
99,14.25,1.4299,0.03162,0.02586,0.0203,0.032,1.0
100,14.5,1.4241,0.03455,0.02887,0.0208,0.0306,1.0
101,14.75,1.4257,0.03701,0.03147,0.0208,0.0295,1.0
102,15.0,1.4242,0.04001,0.03459,0.0203,0.0284,1.0
103,15.25,1.419,0.04369,0.03839,0.0192,0.0276,1.0
104,15.5,1.4087,0.04829,0.04311,0.0174,0.027,1.0
105,15.75,1.3932,0.05383,0.04877,0.015,0.0265,1.0
106,16.0,1.373,0.06022,0.05529,0.0121,0.0261,1.0
107,16.25,1.3561,0.06625,0.06147,0.0094,0.0258,1.0
108,16.5,1.3394,0.07231,0.06767,0.0068,0.0255,1.0
109,16.75,1.3211,0.07866,0.07416,0.004,0.0253,1.0
110,17.0,1.3028,0.08512,0.08074,0.0011,0.0251,1.0
