,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-9.75,-0.5291,0.10873,0.10513,-0.0095,1.0,0.0456
1,-9.5,-0.5315,0.1045,0.10095,-0.0147,1.0,0.0462
2,-9.25,-0.5311,0.10015,0.09664,-0.0185,1.0,0.0464
3,-9.0,-0.5313,0.09548,0.09201,-0.0224,1.0,0.0465
4,-8.75,-0.5356,0.08915,0.08572,-0.0219,1.0,0.0476
5,-8.5,-0.5264,0.08667,0.08325,-0.0197,1.0,0.0489
6,-8.25,-0.5215,0.08365,0.08025,-0.0201,1.0,0.0503
7,-8.0,-0.5206,0.07999,0.07662,-0.0222,1.0,0.0516
8,-7.75,-0.5179,0.07533,0.07198,-0.0269,1.0,0.0533
9,-7.5,-0.5145,0.06959,0.06622,-0.0332,1.0,0.0557
10,-7.25,-0.5147,0.06179,0.05796,-0.0441,1.0,0.0592
11,-7.0,-0.5168,0.05445,0.05059,-0.045,1.0,0.0605
12,-6.75,-0.5019,0.05384,0.0502,-0.0421,1.0,0.0633
13,-6.5,-0.4914,0.05089,0.04716,-0.042,1.0,0.0671
14,-6.25,-0.4916,0.03815,0.03357,-0.044,1.0,0.05
15,-6.0,-0.484,0.02727,0.02132,-0.0423,1.0,0.038
16,-5.75,-0.4648,0.02541,0.01928,-0.0413,1.0,0.0399
17,-5.5,-0.4444,0.02373,0.01727,-0.0401,1.0,0.0433
18,-5.25,-0.4225,0.02174,0.01479,-0.0389,1.0,0.0455
19,-5.0,-0.4003,0.01933,0.01204,-0.0381,1.0,0.0492
20,-4.75,-0.3776,0.01848,0.01112,-0.0373,1.0,0.0541
21,-4.5,-0.3537,0.01764,0.01003,-0.0364,1.0,0.0585
22,-4.25,-0.3296,0.01628,0.00861,-0.0359,1.0,0.0641
23,-4.0,-0.3054,0.01565,0.00787,-0.0353,1.0,0.069
24,-3.75,-0.2809,0.01509,0.0072,-0.0347,1.0,0.0737
25,-3.5,-0.2558,0.01423,0.00638,-0.0344,1.0,0.0783
26,-3.25,-0.2307,0.01383,0.00595,-0.034,1.0,0.0848
27,-3.0,-0.2047,0.01321,0.00536,-0.0339,1.0,0.093
28,-2.75,-0.1785,0.0127,0.00492,-0.0338,1.0,0.1083
29,-2.5,-0.1512,0.01199,0.00454,-0.0342,1.0,0.1681
30,-2.25,-0.1245,0.01146,0.00443,-0.0347,1.0,0.2675
31,-2.0,-0.087,0.0109,0.00437,-0.0373,0.9967,0.3951
32,-1.75,-0.0495,0.00996,0.00443,-0.0396,0.9929,0.6396
33,-1.5,-0.0179,0.00929,0.00459,-0.0387,0.9883,0.937
34,-1.25,0.0318,0.00928,0.00444,-0.0435,0.9816,1.0
35,-1.0,0.0775,0.00932,0.00434,-0.0474,0.9759,1.0
36,-0.75,0.119,0.00931,0.00423,-0.0503,0.9674,1.0
37,-0.5,0.1625,0.00927,0.00411,-0.0536,0.9602,1.0
38,-0.25,0.2067,0.0092,0.00397,-0.0569,0.953,1.0
39,0.0,0.245,0.00911,0.00385,-0.059,0.943,1.0
40,0.25,0.2838,0.009,0.0037,-0.061,0.9336,1.0
41,0.5,0.3191,0.00887,0.00355,-0.0621,0.9224,1.0
42,0.75,0.3495,0.00877,0.00343,-0.0622,0.9082,1.0
43,1.0,0.3776,0.00869,0.00333,-0.0617,0.8923,1.0
44,1.25,0.4037,0.00864,0.00326,-0.0609,0.8739,1.0
45,1.5,0.4299,0.00861,0.00319,-0.06,0.8549,1.0
