,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-10.75,-0.8523,0.03757,0.03547,-0.0512,1.0,0.0059
1,-10.5,-0.8601,0.03067,0.02806,-0.0529,1.0,0.006
2,-10.25,-0.855,0.0266,0.0236,-0.0526,1.0,0.0062
3,-10.0,-0.8389,0.02485,0.0217,-0.052,1.0,0.0064
4,-9.75,-0.8199,0.02379,0.02054,-0.0513,1.0,0.0067
5,-9.5,-0.8012,0.02264,0.01925,-0.0505,1.0,0.0069
6,-9.25,-0.7832,0.0213,0.01774,-0.0495,1.0,0.0072
7,-9.0,-0.7655,0.01988,0.01613,-0.0483,1.0,0.0074
8,-8.75,-0.7471,0.01859,0.01465,-0.0471,1.0,0.0077
9,-8.5,-0.728,0.01749,0.01337,-0.0458,1.0,0.0079
10,-8.25,-0.708,0.0166,0.01231,-0.0446,1.0,0.0081
11,-8.0,-0.6871,0.01595,0.01154,-0.0435,1.0,0.0083
12,-7.75,-0.6705,0.01379,0.00905,-0.042,1.0,0.009
13,-7.5,-0.6492,0.01309,0.00828,-0.0409,1.0,0.0095
14,-7.25,-0.6271,0.01262,0.00775,-0.04,1.0,0.0101
15,-7.0,-0.5952,0.01217,0.00723,-0.0411,0.999,0.0108
16,-6.75,-0.5616,0.01178,0.00679,-0.0425,0.9977,0.0116
17,-6.5,-0.5285,0.0108,0.00564,-0.0438,0.9963,0.013
18,-6.25,-0.4933,0.01035,0.00517,-0.0456,0.995,0.0149
19,-6.0,-0.4591,0.01008,0.00488,-0.047,0.9931,0.0166
20,-5.75,-0.4258,0.00958,0.00433,-0.0483,0.9909,0.0196
21,-5.5,-0.3914,0.00944,0.00424,-0.0498,0.9891,0.0233
22,-5.25,-0.3562,0.00942,0.00421,-0.0514,0.9876,0.0254
23,-5.0,-0.3216,0.00891,0.00366,-0.053,0.9864,0.0296
24,-4.75,-0.2881,0.00874,0.00351,-0.0543,0.9841,0.0327
25,-4.5,-0.2559,0.00859,0.00332,-0.0552,0.9808,0.0346
26,-4.25,-0.2227,0.00847,0.0032,-0.0564,0.9779,0.0356
27,-4.0,-0.1916,0.008,0.00266,-0.0571,0.9741,0.0382
28,-3.75,-0.1628,0.00774,0.00238,-0.0572,0.968,0.0406
