,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-19.75,-1.3032,0.07356,0.06913,-0.0436,1.0,0.0295
1,-19.5,-1.3096,0.06953,0.06504,-0.045,1.0,0.0298
2,-19.25,-1.3135,0.06583,0.06128,-0.0463,1.0,0.03
3,-19.0,-1.3154,0.0624,0.05779,-0.0474,1.0,0.0303
4,-18.75,-1.3155,0.05925,0.05457,-0.0483,1.0,0.0306
5,-18.5,-1.3141,0.05632,0.05158,-0.0491,1.0,0.031
6,-18.25,-1.3119,0.05353,0.04873,-0.0498,1.0,0.0313
7,-18.0,-1.3084,0.05092,0.04605,-0.0504,1.0,0.0317
8,-17.75,-1.3044,0.04842,0.04348,-0.0509,1.0,0.0321
9,-17.5,-1.2988,0.04613,0.04111,-0.0512,1.0,0.0324
10,-17.25,-1.2917,0.04404,0.03894,-0.0515,1.0,0.0327
11,-17.0,-1.294,0.04111,0.03595,-0.0516,1.0,0.0331
12,-16.75,-1.2923,0.03864,0.03343,-0.0517,1.0,0.0335
13,-16.5,-1.2869,0.0366,0.03135,-0.0515,1.0,0.0339
14,-16.25,-1.2789,0.03482,0.02953,-0.0513,1.0,0.0343
15,-16.0,-1.2697,0.03321,0.02788,-0.051,1.0,0.0347
16,-15.75,-1.2593,0.03175,0.02637,-0.0506,1.0,0.0352
17,-15.5,-1.248,0.03042,0.02499,-0.0501,1.0,0.0356
18,-15.25,-1.2357,0.0292,0.02372,-0.0496,1.0,0.0361
19,-15.0,-1.2221,0.02811,0.02257,-0.0489,1.0,0.0365
20,-14.75,-1.2131,0.02674,0.02114,-0.048,1.0,0.0369
21,-14.5,-1.2064,0.02528,0.01965,-0.0467,1.0,0.0375
22,-14.25,-1.1951,0.02419,0.01854,-0.0456,1.0,0.038
23,-14.0,-1.1819,0.02329,0.01762,-0.0445,1.0,0.0385
24,-13.75,-1.1673,0.02251,0.01681,-0.0433,1.0,0.0391
25,-13.5,-1.1523,0.0218,0.01607,-0.0421,1.0,0.0397
26,-13.25,-1.1371,0.02115,0.01538,-0.0408,1.0,0.0403
27,-13.0,-1.1213,0.02057,0.01476,-0.0394,1.0,0.0408
28,-12.75,-1.1088,0.01989,0.01404,-0.0375,1.0,0.0412
29,-12.5,-1.102,0.01907,0.01321,-0.0347,1.0,0.0419
30,-12.25,-1.0939,0.01854,0.01267,-0.0317,1.0,0.0425
31,-12.0,-1.0885,0.01815,0.01227,-0.0279,1.0,0.043
32,-11.75,-1.0905,0.01789,0.01199,-0.0226,1.0,0.0435
33,-11.5,-1.095,0.01769,0.01176,-0.0168,0.9996,0.0439
34,-11.25,-1.0649,0.01725,0.0113,-0.0177,0.9976,0.0448
35,-11.0,-1.0328,0.01685,0.01088,-0.0188,0.9956,0.0455
36,-10.75,-1.0014,0.01617,0.01019,-0.0201,0.9935,0.0467
37,-10.5,-0.9684,0.01564,0.00967,-0.0215,0.9914,0.0478
38,-10.25,-0.9374,0.01522,0.00925,-0.0224,0.9881,0.0489
39,-10.0,-0.9049,0.01483,0.00884,-0.0235,0.9856,0.05
40,-9.75,-0.8712,0.0145,0.0085,-0.0248,0.9833,0.0508
41,-9.5,-0.8413,0.0139,0.00791,-0.0256,0.9804,0.0526
42,-9.25,-0.8154,0.01354,0.00755,-0.0253,0.9743,0.0539
43,-9.0,-0.7877,0.01321,0.00721,-0.0253,0.9686,0.0551
44,-8.75,-0.7619,0.01294,0.00692,-0.0248,0.9619,0.0563
45,-8.5,-0.7397,0.01255,0.00652,-0.0236,0.9535,0.058
46,-8.25,-0.7168,0.01224,0.00622,-0.0226,0.945,0.0598
47,-8.0,-0.6929,0.012,0.00595,-0.0216,0.9361,0.0616
48,-7.75,-0.6694,0.01173,0.00566,-0.0206,0.9267,0.0637
49,-7.5,-0.6459,0.01144,0.00537,-0.0196,0.9171,0.0663
50,-7.25,-0.6211,0.01122,0.00513,-0.0188,0.907,0.069
51,-7.0,-0.5972,0.01094,0.00485,-0.0179,0.8966,0.0739
52,-6.75,-0.5727,0.01067,0.00461,-0.0171,0.8855,0.0811
53,-6.5,-0.5483,0.0104,0.00437,-0.0163,0.8741,0.0928
54,-6.25,-0.5242,0.01008,0.00411,-0.0154,0.8614,0.1083
55,-6.0,-0.4997,0.0098,0.00388,-0.0147,0.8486,0.1252
56,-5.75,-0.4761,0.00946,0.00361,-0.0137,0.8345,0.1492
57,-5.5,-0.4539,0.00899,0.00332,-0.0127,0.8191,0.1906
58,-5.25,-0.4317,0.00853,0.00305,-0.0116,0.8035,0.2426
59,-5.0,-0.4076,0.00824,0.00286,-0.0108,0.787,0.2782
60,-4.75,-0.3828,0.00802,0.00271,-0.01,0.7693,0.3084
61,-4.5,-0.3573,0.00787,0.00258,-0.0094,0.7509,0.3344
62,-4.25,-0.3312,0.00777,0.00248,-0.0089,0.7317,0.3556
63,-4.0,-0.3048,0.00768,0.00239,-0.0084,0.7123,0.3744
64,-3.75,-0.2783,0.00759,0.00231,-0.008,0.6937,0.3926
65,-3.5,-0.2514,0.00752,0.00224,-0.0076,0.6767,0.4089
66,-3.25,-0.2244,0.00748,0.00218,-0.0073,0.6596,0.4233
67,-3.0,-0.1974,0.00744,0.00212,-0.007,0.6415,0.4394
68,-2.75,-0.1704,0.00742,0.00208,-0.0066,0.6234,0.4554
69,-2.5,-0.1436,0.00737,0.00204,-0.0063,0.6058,0.4739
70,-2.25,-0.1167,0.00733,0.002,-0.0059,0.5881,0.4919
71,-2.0,-0.0896,0.00731,0.00197,-0.0056,0.5711,0.5079
72,-1.75,-0.0625,0.00729,0.00195,-0.0053,0.5557,0.5258
73,-1.5,-0.0356,0.00729,0.00194,-0.005,0.54,0.5441
74,-1.25,-0.0082,0.00728,0.00193,-0.0047,0.5248,0.5615
75,-1.0,0.0191,0.00727,0.00193,-0.0045,0.5111,0.579
76,-0.75,0.0461,0.00727,0.00193,-0.0042,0.4978,0.5958
77,-0.5,0.0736,0.00727,0.00194,-0.0039,0.4844,0.6113
78,-0.25,0.1013,0.00729,0.00195,-0.0038,0.4709,0.6262
79,0.0,0.1285,0.00733,0.00197,-0.0035,0.4567,0.6418
80,0.25,0.1559,0.00733,0.00199,-0.0033,0.4436,0.6582
81,0.5,0.1832,0.00736,0.00202,-0.003,0.4308,0.6747
82,0.75,0.2103,0.00742,0.00206,-0.0027,0.4164,0.691
83,1.0,0.2377,0.00747,0.00211,-0.0025,0.4018,0.7078
84,1.25,0.2646,0.00751,0.00216,-0.0022,0.3876,0.7251
85,1.5,0.2915,0.00758,0.00223,-0.0019,0.3736,0.7415
86,2.0,0.3456,0.00776,0.00237,-0.0014,0.3456,0.7726
87,2.25,0.3724,0.00785,0.00246,-0.001,0.3321,0.7877
88,2.5,0.3989,0.00797,0.00256,-0.0007,0.3182,0.8017
89,2.75,0.4259,0.00809,0.00266,-0.0004,0.3057,0.8156
90,3.0,0.4527,0.00819,0.00277,-0.0001,0.2951,0.8292
91,3.25,0.4791,0.00834,0.00289,0.0003,0.2838,0.8418
92,3.5,0.5062,0.00845,0.003,0.0005,0.275,0.8546
93,3.75,0.5322,0.00862,0.00315,0.001,0.2643,0.8666
94,4.0,0.5591,0.00874,0.00327,0.0012,0.2563,0.8778
95,4.25,0.5848,0.00893,0.00344,0.0017,0.2476,0.8892
96,4.5,0.6118,0.00903,0.00356,0.002,0.2425,0.8994
97,4.75,0.6377,0.0092,0.00371,0.0025,0.2359,0.9096
98,5.0,0.6634,0.00938,0.00388,0.003,0.2293,0.919
99,5.25,0.6895,0.00951,0.00403,0.0034,0.2247,0.9283
100,5.5,0.715,0.00969,0.00419,0.0039,0.2198,0.9367
101,5.75,0.7395,0.00992,0.0044,0.0047,0.2141,0.9452
102,6.0,0.7657,0.01004,0.00455,0.0051,0.2115,0.9529
103,6.25,0.7921,0.01022,0.00473,0.0054,0.2077,0.9598
104,6.5,0.8174,0.01043,0.00492,0.0059,0.2034,0.9671
105,6.75,0.8466,0.01071,0.00517,0.0055,0.1982,0.9717
106,7.0,0.8767,0.01087,0.00535,0.005,0.1955,0.9768
107,7.25,0.9073,0.01108,0.00555,0.0043,0.1919,0.9809
108,7.5,0.9421,0.01135,0.0058,0.0026,0.1876,0.9828
109,7.75,0.9773,0.01166,0.00608,0.0008,0.1831,0.9844
110,8.0,1.0131,0.01185,0.00629,-0.0011,0.1801,0.9863
111,8.25,1.047,0.0121,0.00652,-0.0026,0.1757,0.9887
112,8.5,1.0775,0.01245,0.00682,-0.0035,0.1699,0.9918
113,8.75,1.1125,0.01265,0.00704,-0.0052,0.1664,0.9931
114,9.0,1.1472,0.01291,0.00728,-0.007,0.1618,0.9944
115,9.25,1.1803,0.01327,0.0076,-0.0085,0.1561,0.996
