,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-10.0,-0.5372,0.10797,0.10566,-0.0038,1.0,0.0208
1,-9.75,-0.5347,0.10401,0.10171,-0.0057,1.0,0.0215
2,-8.25,-0.6631,0.02974,0.02622,-0.0489,1.0,0.0126
3,-8.0,-0.6535,0.02627,0.02235,-0.0476,1.0,0.0129
4,-7.75,-0.6375,0.02446,0.02032,-0.0465,1.0,0.0134
5,-7.5,-0.6185,0.02359,0.01931,-0.0454,1.0,0.0141
6,-7.25,-0.6,0.02233,0.01787,-0.0441,1.0,0.0149
7,-7.0,-0.5822,0.02049,0.01573,-0.0428,1.0,0.0157
8,-6.75,-0.5631,0.01883,0.01379,-0.0414,1.0,0.0165
9,-6.5,-0.5422,0.01782,0.01255,-0.0402,1.0,0.0171
10,-6.25,-0.5228,0.01515,0.00951,-0.0391,1.0,0.0187
11,-6.0,-0.5005,0.01481,0.00915,-0.0382,1.0,0.0204
12,-5.75,-0.4779,0.01448,0.00876,-0.0374,1.0,0.0225
13,-5.5,-0.4548,0.01399,0.00817,-0.0365,1.0,0.0245
14,-5.25,-0.4271,0.01293,0.00696,-0.0367,0.9994,0.0273
15,-5.0,-0.3903,0.01254,0.00656,-0.0388,0.9971,0.0316
16,-4.75,-0.3529,0.01234,0.00628,-0.0409,0.9951,0.0351
17,-4.5,-0.3189,0.01137,0.00527,-0.0425,0.9927,0.0404
18,-4.25,-0.283,0.01106,0.00491,-0.0443,0.9898,0.0444
19,-4.0,-0.2458,0.01083,0.00463,-0.0463,0.9874,0.0468
20,-3.75,-0.2095,0.01012,0.00388,-0.0483,0.9854,0.051
21,-3.5,-0.1754,0.00979,0.00353,-0.0497,0.9812,0.0547
22,-3.25,-0.1385,0.00948,0.00318,-0.0516,0.9783,0.0587
23,-3.0,-0.1004,0.00905,0.00279,-0.0539,0.9763,0.0717
24,-2.75,-0.0671,0.00851,0.00249,-0.0552,0.9716,0.1258
25,-2.5,-0.0329,0.0081,0.00231,-0.0567,0.9672,0.1868
26,-2.25,0.0008,0.00774,0.00215,-0.058,0.9627,0.2466
27,-2.0,0.0301,0.0074,0.00202,-0.0583,0.9548,0.3087
28,-1.75,0.0596,0.00702,0.00189,-0.0587,0.9476,0.3871
29,-1.5,0.0865,0.00652,0.00179,-0.0586,0.9384,0.5061
30,-1.25,0.111,0.00599,0.00174,-0.0577,0.9276,0.6506
31,-1.0,0.1333,0.0055,0.00172,-0.0561,0.9164,0.7878
32,-0.75,0.1543,0.00518,0.00175,-0.0536,0.9046,0.9214
33,-0.5,0.1985,0.00514,0.00169,-0.0567,0.8947,0.9839
34,-0.25,0.2396,0.00512,0.0016,-0.0594,0.8818,1.0
35,0.0,0.2651,0.00513,0.00153,-0.0587,0.8654,1.0
36,0.25,0.2906,0.00517,0.00147,-0.0581,0.8472,1.0
37,0.5,0.3159,0.00522,0.00142,-0.0573,0.8247,1.0
38,0.75,0.3407,0.00532,0.00137,-0.0564,0.795,1.0
39,1.0,0.3658,0.00544,0.00135,-0.0556,0.7642,1.0
40,1.25,0.3911,0.00558,0.00135,-0.0549,0.7336,1.0
41,1.5,0.4164,0.00574,0.00136,-0.0542,0.7004,1.0
42,1.75,0.4417,0.00593,0.0014,-0.0536,0.6663,1.0
43,2.0,0.467,0.00613,0.00145,-0.053,0.6315,1.0
44,2.25,0.4925,0.00635,0.00152,-0.0524,0.5963,1.0
45,2.5,0.5179,0.00659,0.00162,-0.0519,0.5612,1.0
46,2.75,0.5437,0.00681,0.00172,-0.0515,0.5298,1.0
47,3.0,0.5694,0.00707,0.00184,-0.0511,0.4936,1.0
48,3.25,0.5945,0.00738,0.00198,-0.0506,0.448,1.0
49,3.5,0.6197,0.00772,0.00214,-0.0501,0.4019,1.0
50,3.75,0.6441,0.0082,0.00235,-0.0496,0.3373,1.0
51,4.0,0.6673,0.00887,0.00265,-0.049,0.2524,1.0
52,4.25,0.6893,0.00976,0.00307,-0.0483,0.154,1.0
53,4.5,0.7117,0.01063,0.00356,-0.0476,0.0766,1.0
54,4.75,0.7367,0.01112,0.00393,-0.0471,0.0546,1.0
55,5.0,0.7622,0.01153,0.00434,-0.0467,0.0483,1.0
56,5.25,0.7877,0.0119,0.00476,-0.0463,0.0453,1.0
57,5.5,0.8128,0.01236,0.00525,-0.0458,0.0425,1.0
58,5.75,0.8367,0.01297,0.0059,-0.0451,0.0393,1.0
59,6.0,0.8597,0.01371,0.00674,-0.0443,0.0373,1.0
60,6.25,0.8845,0.01414,0.00723,-0.0438,0.0359,1.0
61,6.5,0.9085,0.01469,0.00785,-0.0432,0.0339,1.0
62,6.75,0.9319,0.01531,0.00851,-0.0426,0.0311,1.0
63,7.0,0.9485,0.01711,0.0104,-0.0409,0.0272,1.0
64,7.25,0.9735,0.01745,0.01083,-0.0404,0.0258,1.0
65,7.5,0.9981,0.01786,0.01131,-0.0399,0.0233,1.0
66,7.75,1.0218,0.01835,0.01184,-0.0394,0.0208,1.0
67,8.0,1.0417,0.01952,0.01304,-0.0383,0.0188,1.0
68,8.25,1.06,0.0213,0.01497,-0.0369,0.0173,1.0
69,8.5,1.0833,0.02183,0.0156,-0.0362,0.0161,1.0
70,8.75,1.1059,0.02239,0.01625,-0.0355,0.0147,1.0
71,9.0,1.128,0.0229,0.01684,-0.0349,0.0137,1.0
72,9.25,1.1484,0.02371,0.01771,-0.034,0.0129,1.0
73,9.5,1.1572,0.02754,0.02187,-0.0316,0.0119,1.0
74,9.75,1.1737,0.02917,0.02371,-0.0302,0.0115,1.0
75,10.0,1.1882,0.03107,0.02587,-0.0285,0.0112,1.0
76,10.25,1.1995,0.03333,0.02839,-0.0266,0.0108,1.0
77,10.5,1.2088,0.03551,0.03083,-0.0246,0.0103,1.0
78,10.75,1.2172,0.03738,0.0329,-0.0227,0.0099,1.0
79,11.0,1.2243,0.03902,0.0347,-0.0207,0.0095,1.0
80,11.25,1.2247,0.04088,0.03675,-0.018,0.0093,1.0
81,11.5,1.2177,0.04344,0.03952,-0.0149,0.0091,1.0
82,11.75,1.2072,0.04645,0.04275,-0.0125,0.009,1.0
83,12.0,1.1929,0.05015,0.04668,-0.011,0.009,1.0
84,12.25,1.1711,0.05534,0.05213,-0.0108,0.009,1.0
85,12.5,1.143,0.06224,0.05931,-0.0128,0.0091,1.0
86,12.75,1.0839,0.07634,0.07384,-0.0207,0.0095,1.0
87,13.0,1.0398,0.09048,0.08823,-0.0307,0.0099,1.0
