,Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,-14.25,-0.8239,0.08224,0.07579,-0.0553,1.0,0.1017
1,-14.0,-0.8531,0.07594,0.06934,-0.057,1.0,0.1012
2,-13.75,-0.8851,0.0704,0.06361,-0.0575,1.0,0.1008
3,-13.5,-0.9149,0.06582,0.05882,-0.0566,1.0,0.1004
4,-13.25,-0.9419,0.06204,0.05481,-0.0544,1.0,0.1003
5,-13.0,-0.9658,0.05891,0.05145,-0.0509,1.0,0.1003
6,-12.75,-0.9872,0.05628,0.0486,-0.0464,1.0,0.1004
7,-12.5,-1.003,0.05373,0.04578,-0.0422,1.0,0.1006
8,-12.25,-1.0158,0.0514,0.04315,-0.0378,1.0,0.1011
9,-12.0,-1.0268,0.04936,0.04077,-0.0331,1.0,0.1018
10,-11.75,-1.0198,0.04688,0.0382,-0.0309,1.0,0.1031
11,-11.5,-1.0024,0.04508,0.03643,-0.0298,1.0,0.1049
12,-11.25,-0.9925,0.04343,0.0347,-0.0274,1.0,0.1064
13,-11.0,-0.9855,0.04179,0.03289,-0.0246,1.0,0.1078
14,-10.75,-0.9796,0.04027,0.03117,-0.0214,1.0,0.1095
15,-10.5,-0.9749,0.0389,0.02953,-0.0179,1.0,0.1113
16,-10.25,-0.9682,0.03752,0.02789,-0.0146,1.0,0.1129
17,-10.0,-0.9462,0.03583,0.02633,-0.0139,1.0,0.1154
18,-9.75,-0.9305,0.03465,0.02512,-0.012,1.0,0.1178
19,-9.5,-0.9162,0.03357,0.02394,-0.0098,1.0,0.1207
20,-9.25,-0.9046,0.03262,0.0228,-0.0071,1.0,0.1235
21,-9.0,-0.8831,0.03126,0.02155,-0.0061,1.0,0.1268
22,-8.75,-0.8655,0.03029,0.02065,-0.0045,1.0,0.1304
23,-8.5,-0.8511,0.02946,0.01974,-0.0022,1.0,0.1345
24,-8.25,-0.8341,0.02847,0.01879,-0.0005,1.0,0.139
25,-8.0,-0.8186,0.02763,0.01809,0.0015,1.0,0.1441
26,-7.75,-0.8052,0.02697,0.01733,0.0039,1.0,0.15
27,-7.5,-0.7917,0.02604,0.01665,0.006,1.0,0.1568
28,-7.25,-0.7801,0.02533,0.01598,0.0086,1.0,0.1655
29,-7.0,-0.7704,0.02455,0.01536,0.0114,1.0,0.1761
30,-6.75,-0.762,0.02373,0.01473,0.0142,1.0,0.1911
31,-6.5,-0.7549,0.02282,0.01412,0.0172,1.0,0.2153
32,-6.25,-0.7497,0.02176,0.01355,0.0204,1.0,0.2663
33,-6.0,-0.7444,0.02098,0.01332,0.0236,1.0,0.3459
34,-5.75,-0.7276,0.0208,0.01338,0.025,0.9982,0.4057
35,-5.5,-0.6838,0.02099,0.01359,0.0216,0.9889,0.4559
36,-5.25,-0.6373,0.02123,0.01393,0.018,0.9799,0.4913
37,-5.0,-0.5962,0.02132,0.01403,0.0153,0.9688,0.5199
38,-4.75,-0.5556,0.02141,0.0142,0.013,0.9576,0.5446
39,-4.5,-0.512,0.02151,0.01436,0.0103,0.9474,0.5698
40,-4.25,-0.4705,0.0216,0.01451,0.0081,0.9363,0.5964
41,-4.0,-0.4347,0.02165,0.01461,0.0071,0.9237,0.6206
42,-3.75,-0.3843,0.02172,0.01476,0.0038,0.9161,0.6467
43,-3.5,-0.3511,0.02178,0.0149,0.0036,0.9023,0.6685
44,-3.25,-0.2951,0.02168,0.01484,-0.0006,0.8964,0.6896
45,-3.0,-0.2636,0.02154,0.01472,-0.0005,0.8816,0.7055
46,-2.75,-0.2186,0.02136,0.01458,-0.0026,0.872,0.7201
47,-2.5,-0.1796,0.0211,0.01432,-0.0036,0.8598,0.7356
48,-2.25,-0.1477,0.02088,0.01407,-0.0034,0.8459,0.7522
49,-2.0,-0.1012,0.02063,0.01381,-0.0052,0.8363,0.7663
50,-1.75,-0.0693,0.02055,0.01374,-0.0046,0.82,0.7799
51,-1.5,-0.0383,0.02039,0.01353,-0.004,0.8048,0.7956
52,-1.25,0.0022,0.0203,0.01339,-0.0046,0.7913,0.8083
53,-1.0,0.0381,0.02028,0.01331,-0.0046,0.7747,0.8206
54,-0.75,0.0651,0.02025,0.01321,-0.0034,0.7567,0.8362
55,-0.5,0.1082,0.02046,0.01335,-0.0048,0.7382,0.8449
56,-0.25,0.1398,0.02051,0.01331,-0.0045,0.7201,0.8587
57,0.0,0.1826,0.02071,0.01339,-0.0062,0.7008,0.8682
58,0.25,0.2191,0.02081,0.01338,-0.007,0.6818,0.8801
59,0.5,0.2624,0.02098,0.01342,-0.0091,0.6612,0.8901
60,0.75,0.3038,0.02109,0.01339,-0.0111,0.6404,0.9005
61,1.0,0.3422,0.0212,0.01337,-0.0127,0.6196,0.9125
62,1.25,0.3881,0.0213,0.01334,-0.0158,0.5969,0.9213
63,1.5,0.4228,0.02141,0.01331,-0.017,0.5762,0.9344
64,1.75,0.47,0.0215,0.01327,-0.0206,0.5529,0.9433
65,2.0,0.5101,0.0216,0.01323,-0.023,0.5312,0.9543
66,2.25,0.5492,0.02174,0.01323,-0.0254,0.5102,0.9661
67,2.5,0.5967,0.02178,0.01313,-0.0296,0.4882,0.9748
68,2.75,0.6417,0.02184,0.01306,-0.0333,0.4679,0.9844
69,3.0,0.687,0.02191,0.01302,-0.0372,0.4493,0.9936
70,3.25,0.7288,0.02197,0.01295,-0.0406,0.4328,1.0
71,3.5,0.747,0.02212,0.013,-0.0395,0.4207,1.0
72,3.75,0.7649,0.02237,0.01324,-0.0384,0.4093,1.0
73,4.0,0.7841,0.02259,0.01332,-0.0373,0.3995,1.0
74,4.25,0.8015,0.02291,0.01368,-0.0361,0.3892,1.0
75,4.5,0.821,0.02317,0.01382,-0.035,0.3804,1.0
76,4.75,0.8384,0.02357,0.01427,-0.0336,0.3718,1.0
77,5.0,0.8568,0.0239,0.01456,-0.0323,0.3636,1.0
78,5.25,0.8759,0.02436,0.01493,-0.0312,0.3565,1.0
79,5.5,0.891,0.0248,0.01549,-0.0293,0.3485,1.0
80,5.75,0.9105,0.0252,0.01576,-0.0281,0.3418,1.0
81,6.0,0.9261,0.02577,0.01639,-0.0263,0.3348,1.0
82,6.25,0.9411,0.0262,0.01687,-0.0244,0.3272,1.0
83,6.5,0.9626,0.02666,0.01713,-0.0235,0.3208,1.0
84,6.75,0.9731,0.02728,0.01795,-0.0208,0.314,1.0
85,7.0,0.9885,0.02776,0.01844,-0.0189,0.3074,1.0
86,7.25,1.0117,0.02836,0.01883,-0.0182,0.3016,1.0
87,7.5,1.019,0.02908,0.01981,-0.015,0.2956,1.0
88,7.75,1.0327,0.02968,0.02046,-0.0128,0.2896,1.0
89,8.0,1.0557,0.03024,0.02085,-0.0121,0.2841,1.0
90,8.25,1.0636,0.03115,0.02195,-0.0091,0.2786,1.0
91,8.5,1.0739,0.03189,0.0228,-0.0065,0.2728,1.0
92,8.75,1.0952,0.03242,0.02321,-0.0055,0.2673,1.0
93,9.0,1.1064,0.03344,0.02433,-0.0031,0.2621,1.0
94,9.25,1.1122,0.03437,0.02543,0.0001,0.2564,1.0
95,9.5,1.1301,0.03497,0.02599,0.0016,0.251,1.0
96,9.75,1.1479,0.03598,0.02696,0.0028,0.2459,1.0
97,10.0,1.1467,0.03717,0.0284,0.0069,0.2406,1.0
98,10.25,1.1595,0.03794,0.02921,0.0089,0.2353,1.0
99,10.5,1.189,0.03879,0.02985,0.0084,0.2301,1.0
100,10.75,1.1767,0.04041,0.03184,0.0136,0.2257,1.0
101,11.0,1.1808,0.0416,0.03316,0.0165,0.2207,1.0
102,11.25,1.2097,0.04206,0.03346,0.0162,0.2157,1.0
103,11.5,1.2066,0.0439,0.03548,0.0196,0.2118,1.0
104,11.75,1.1874,0.046,0.03786,0.0247,0.2082,1.0
105,12.0,1.1851,0.04742,0.03938,0.0279,0.2043,1.0
106,12.25,1.2457,0.04724,0.03885,0.0239,0.1984,1.0
107,12.5,1.2034,0.05001,0.04199,0.031,0.1966,1.0
108,12.75,1.1554,0.05413,0.04645,0.0362,0.1948,1.0
109,13.0,1.0715,0.06257,0.05529,0.0389,0.1941,1.0
